,obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,descDitheredRotTelPos,airmass,fiveSigmaDepth,expMJD,descDitheredRotSkyPos,fieldRA,fieldDec,rotSkyPos,rotTelPos,d1,d2,d3,d4
12,6826,i,0.948814,57.48821908379153,-29.82892765964433,-6.970948310238674,1.43317318714,23.547951327,59589.200927,248.36556603923293,57.23951505760047,-30.8641478038867,303.2647274978003,47.08779154769304,1.7373643193804795,2.5185974216434537,1.251474514028341,2.2150154930877455
13,6855,i,0.904759,59.71757374942492,-32.69801381876192,-6.676849073998023,1.46687216527,23.5829971812,59589.214371,250.4479927337777,60.47300237442128,-31.197781127991377,303.34425403976445,47.381890783933684,3.5850793627952298,3.2170601394278746,2.2386355660745325,1.6101435859226407
15,8004,z,0.769287,54.32178255195372,-32.57402575189562,62.6064107245909,1.02887303085,23.1111679177,59591.084162,337.4271138058804,55.12719155429167,-33.448015572588176,322.2304899533233,43.24834406674188,2.1241841329835647,1.5304379882490402,3.5000697278670136,3.16186405932053
17,8007,z,0.766362,58.658516372206336,-31.06582894777275,63.17701939276168,1.02249996183,23.1106150871,59591.085526,333.9806129960855,57.23951505760047,-30.8641478038867,313.01916207256403,43.81895273491266,2.278902740300565,2.450867954608309,0.5680898254781817,1.0898140711614954
21,8048,z,0.839227,59.61408578817427,-31.980670659258134,75.4002145151851,1.03919491753,23.0115076892,59591.106601,346.1739005679975,60.47300237442128,-31.197781127991377,324.5929095342067,56.04214785733608,3.2338921337067066,3.0651598343846262,1.6899689389117876,1.3690903749584118
22,8049,z,0.847392,58.01626458978812,-29.5936138931841,75.47177694379694,1.05577805062,22.9826917273,59591.10705,337.9854899806114,57.23951505760047,-30.8641478038867,322.2837177324909,56.113710285947924,2.2379084447900355,2.964683066422815,1.4064562111060896,2.4064266511321115
35,13275,z,1.264424,59.07440178532857,-33.36705663613619,-16.849485543427736,1.10634097678,22.4279314257,59598.113241,252.299985778723,58.43974704684052,-33.82473532288669,223.61459853723233,-46.10350735143779,3.5172201813096176,2.926335711590031,2.5356554331595667,1.6390503554418625
36,13276,z,1.284255,54.1940597499407,-32.261706457769805,-16.757812296206804,1.13497544606,22.3996426049,59598.11369,247.92789216846052,55.12719155429167,-33.448015572588176,221.19362266968656,-46.01183410421687,1.9889790516971064,1.551544670451437,3.4772232162797585,3.2334404146231996
38,13329,z,1.32512,59.56973870414325,-32.61648192451481,-20.051288294177805,1.19482157341,22.3313831361,59598.139454,243.70268536093323,58.43974704684052,-33.82473532288669,215.7657069975147,-49.30531010218786,3.4371132700128473,3.079260368107804,2.095771738155992,1.4629305983338214
40,32630,z,1.18471,58.80683101181041,-31.212735326444296,48.77412093032208,1.06000284956,22.0357404235,59624.019083,316.2382113442227,57.23951505760047,-30.8641478038867,265.8976806065173,0.0,2.412566417865938,2.5166888209181204,0.7228281452764632,1.0449624435103022
41,32631,z,1.173793,59.31487496511423,-32.32753930843033,48.82253586401063,1.04417452643,22.0986494046,59624.019532,319.91861198297426,60.47300237442128,-31.197781127991377,268.1243091899547,0.04841493368855457,3.1179275366843133,2.825073378253857,1.7362935489688787,1.1602623090042734
