obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,airmass,fiveSigmaDepth,expMJD,d1,d2,d3,d4
2340,u,1.055842,56.72262788822017,-33.03491300229885,1.05634121079,23.3953544501,59583.123341,2.1251336515922756,1.2009646778604535,2.3051296701582213,1.4936997530516887
2342,u,1.041436,60.00385695096357,-32.105575458596654,1.03286313514,23.461926872,59583.124255,3.5862836445548427,3.3949534400999744,2.034190943917445,1.7016413973657434
2343,u,1.050767,57.662165056250934,-32.31344454667012,1.04801677147,23.450586132,59583.124704,1.930467459537772,1.441650671290857,1.344553442369636,0.42432112297883784
5889,y,0.943714,59.59425896870141,-32.38930415874544,1.01419363395,22.2002867296,59588.094752,3.35871935489143,3.0662757643328478,1.9416510957353934,1.4041587221356209
5890,y,0.949501,57.38088787806862,-31.067834300055708,1.0242860871,22.1884178014,59588.095201,1.1851658385508634,1.5013711317024145,0.5348124756329603,1.0711554454140146
6826,i,0.948814,57.48821908379153,-29.82892765964433,1.43317318714,23.547951327,59589.200927,1.7373643193804795,2.5185974216434537,1.251474514028341,2.2150154930877455
6855,i,0.904759,59.71757374942492,-32.69801381876192,1.46687216527,23.5829971812,59589.214371,3.5850793627952298,3.2170601394278746,2.2386355660745325,1.6101435859226407
8004,z,0.769287,54.32178255195372,-32.57402575189562,1.02887303085,23.1111679177,59591.084162,2.1241841329835647,1.5304379882490402,3.5000697278670136,3.16186405932053
8007,z,0.766362,58.658516372206336,-31.06582894777275,1.02249996183,23.1106150871,59591.085526,2.278902740300565,2.450867954608309,0.5680898254781817,1.0898140711614954
8048,z,0.839227,59.61408578817427,-31.980670659258134,1.03919491753,23.0115076892,59591.106601,3.2338921337067066,3.0651598343846262,1.6899689389117876,1.3690903749584118
8049,z,0.847392,58.01626458978812,-29.5936138931841,1.05577805062,22.9826917273,59591.10705,2.2379084447900355,2.964683066422815,1.4064562111060896,2.4064266511321115
12448,y,1.042783,55.96075184260839,-31.936610204812574,1.03834534111,21.9621373808,59597.080689,0.9372082256638273,0.07160221965134703,1.9754218386434865,1.7311132412782242
12449,y,1.035341,59.41648741605857,-30.089508864869824,1.02622958261,21.9730935881,59597.081138,3.0798728577090078,3.4950980504978664,1.5222113303342344,2.2632914099660075
12455,y,0.947929,54.75974816000535,-33.1971746498799,1.05399900476,22.0491687425,59597.083856,2.435396752902441,1.5889867266854147,3.5156281088595667,2.9805805051500927
12456,y,0.942575,56.0764265817267,-29.81781227841879,1.04430323977,22.0677291384,59597.084337,1.1840236541760207,2.1831724563252837,2.0370177952645494,2.73587344828244
12484,y,0.890259,56.05084715076891,-32.27213428964118,1.08257226943,22.1031008446,59597.097485,1.2728706164365113,0.27551940942883973,2.0909232260914328,1.672776268649915
13275,z,1.264424,59.07440178532857,-33.36705663613619,1.10634097678,22.4279314257,59598.113241,3.5172201813096176,2.926335711590031,2.5356554331595667,1.6390503554418625
13276,z,1.284255,54.1940597499407,-32.261706457769805,1.13497544606,22.3996426049,59598.11369,1.9889790516971064,1.551544670451437,3.4772232162797585,3.2334404146231996
13329,z,1.32512,59.56973870414325,-32.61648192451481,1.19482157341,22.3313831361,59598.139454,3.4371132700128473,3.079260368107804,2.095771738155992,1.4629305983338214
32630,z,1.18471,58.80683101181041,-31.212735326444296,1.06000284956,22.0357404235,59624.019083,2.412566417865938,2.5166888209181204,0.7228281452764632,1.0449624435103022
32631,z,1.173793,59.31487496511423,-32.32753930843033,1.04417452643,22.0986494046,59624.019532,3.1179275366843133,2.825073378253857,1.7362935489688787,1.1602623090042734
32633,z,1.194759,56.14869929740821,-32.24256966741243,1.07497406812,22.1434371079,59624.020446,1.2490040933259012,0.27331325476328505,2.0072074502953705,1.5865431233588971
32634,z,1.182664,57.4336241035658,-32.883422961266255,1.05716524908,22.1954877456,59624.020895,2.2420919753218165,1.498059459193433,1.9437672628407998,1.0044382136262748
32677,z,1.228691,59.39538792898018,-29.893786482053137,1.0888177723,22.5183794137,59624.040866,3.129024678281618,3.5935278735068708,1.6342331662046918,2.422392133433281
32678,z,1.246471,55.95507824028454,-30.342527027199594,1.11479826594,22.4948495458,59624.041315,0.658607271806323,1.657918506989684,1.877680207042427,2.409995024929794
37623,y,0.659351,57.97347895325869,-31.479217996959637,1.10359107225,22.340552295,59630.021013,1.7540361459564415,1.7572484420794747,0.4797541740491274,0.5212701837255648
37645,y,0.654135,57.533698438422924,-33.31056299753629,1.12120281596,22.5313294472,59630.03106,2.650306896351584,1.8397723968337885,2.344035465959426,1.3680973637265095
37647,y,0.649776,59.71764073220187,-32.12643112233941,1.10890001521,22.5468447372,59630.031968,3.3617395641308074,3.1529413766742604,1.8467811581620894,1.4611012168173316
37648,y,0.660189,55.78907531122749,-30.958112882288155,1.13825002227,22.5186246355,59630.032417,0.1856251567233946,1.057300715708728,1.895979962782273,2.1541776827080716
37650,y,0.660202,57.9605489247416,-33.684532550418176,1.12810371781,22.5256656776,59630.033338,3.1542362751967716,2.355920357142255,2.6847393760394134,1.684858557366553
37651,y,0.671609,55.00867028750855,-32.71462959482072,1.16031896545,22.483025242,59630.033787,1.910183504516487,1.1008696339645623,3.0649340995958165,2.625852597354697
46276,z,1.224756,59.16135107688866,-30.37965469232407,1.12443281658,22.1624012719,59641.007156,2.7883465018641096,3.1524218074531647,1.1756667466985824,1.9006273148022126
46277,z,1.245737,56.860251429466345,-30.346136661308922,1.15630882776,22.1625011819,59641.007605,0.9874045459767957,1.8102303199999676,1.1783351488158886,1.9199188458322405
46307,z,1.211013,58.49518337376247,-31.091039090758507,1.21043046563,22.6850686226,59641.021177,2.1396601981394987,2.31249478393874,0.4339097883784798,1.0021437230314725
48940,z,0.907265,56.899566156141326,-32.36713069207387,1.19996020999,22.7622040839,59645.007834,1.5668338210518162,0.8452350083922779,1.6570593143541046,1.001089175906225
52543,y,1.00303,58.38600981881158,-29.45329652915656,1.29652053898,21.9649587758,59649.020121,2.577178611216349,3.269696575373602,1.5822512299119755,2.56822223436129
55230,y,1.361933,58.633550547591746,-33.10790782539851,1.26211450741,21.5117807723,59653.00407,3.0698383752179756,2.480784742862472,2.1752092193146395,1.2298805570037015
159479,g,1.140337,58.842665214972094,-32.795989601729296,1.41845656416,24.421242484,59791.352465,3.008103803669355,2.528634264578862,1.9332106339889985,1.0676204093584962
159480,g,1.10926,54.27501952606233,-32.17914323949145,1.35413030033,24.4607032859,59791.352914,1.883942568025645,1.4723576182587044,3.384776459794487,3.160793843505043
159481,g,1.132741,58.518011279703124,-31.096940556048352,1.40303013365,24.4249926322,59791.353361,2.159389379300347,2.32803690995867,0.45426019485826885,1.0051785016762504
159492,g,1.232891,58.8920471742222,-32.88067276384963,1.37119385608,24.3444624471,59791.359238,3.091673906155809,2.5946474615351884,2.027276584513052,1.1585897048267353
159494,g,1.224681,56.69304703163336,-30.922188428533453,1.35624792598,24.3482466343,59791.360133,0.5993707344412591,1.2292808368999086,1.123425520586604,1.550618560626235
161983,y,1.096055,57.37134287618375,-32.20687439677578,1.0371050553,21.842732053,59797.432145,1.6794540994893843,1.1799188198806563,1.3203036448539165,0.5712992889300534
166969,y,0.731058,56.512292736511384,-29.703850972967267,1.03518390011,22.362181889,59802.419759,1.369458651685049,2.337877528269788,1.8242741310308455,2.627363401923934
167865,y,0.751271,59.843031970416625,-31.003834914339595,1.25392244869,22.1858396189,59803.353861,3.2938934653654215,3.4244921133796526,1.5797415555319707,1.8605070590197226
167874,y,0.765548,57.8242298378254,-30.181010224752214,1.19520116728,22.1942373591,59803.357884,1.771041554150278,2.397636204116765,0.832848987447153,1.8252058691374131
167875,y,0.754657,55.39891151530081,-32.48510270209131,1.16646194694,22.2171517998,59803.358336,1.5706052782053657,0.7027019718623292,2.6641580817802013,2.2527749994940627
169840,y,0.789999,57.11943493319958,-32.21936487670963,1.20547056849,22.1836031219,59805.35001,1.5477896620787819,0.9732361746156982,1.4314981042588202,0.7774533958217208
169847,y,0.732802,59.15289670303161,-29.62827783978951,1.22375581566,22.2611818107,59805.353139,3.0477282508016543,3.5992594884182867,1.6947166152365123,2.5700501251439647
169848,y,0.720947,58.61412877776735,-30.654330659309792,1.19038320792,22.287866417,59805.353587,2.2711977448958094,2.6070082645108528,0.6305524665739077,1.444299125429756
174549,i,0.816724,56.393681073890455,-29.893442707376057,1.13012993917,23.6698816354,59810.356514,1.1574321015970803,2.133437805457187,1.772571756208732,2.5169492434075242
174579,i,0.705033,58.37436422874497,-33.69438742449442,1.09603398429,23.8513892154,59810.371054,3.358811488473754,2.6170901302122527,2.7128785750742614,1.7233251393625586
174586,i,0.707902,59.83131003315086,-31.8245969558645,1.10374668525,23.8355121428,59810.374201,3.3719442336677776,3.2567937914626874,1.7670614137193563,1.5643673479002498
174602,i,0.707483,56.29222371471444,-30.842489999230754,1.064745263,23.8509250909,59810.381429,0.29606652308000964,1.1840654264132333,1.473485125346258,1.8610439178709024
177422,i,0.692102,55.93830001504907,-33.07290010411602,1.07215437713,24.0219380838,59813.363729,2.0735597107916517,1.0741602005515036,2.7112066262851022,2.042515169073803
177423,i,0.699903,59.273446946350795,-33.31829792777055,1.09268609207,24.0019955974,59813.364178,3.612649373518719,3.054758635583638,2.5566326758428315,1.6991766743689043
177480,i,0.76048,58.354501094061135,-32.32690905485569,1.02804077402,23.9425258548,59813.398883,2.403385417457983,2.0197486653537093,1.3607796231037852,0.44376460414785834
179970,u,1.202055,56.00188674332581,-32.38494967950244,1.35290998395,23.0869792988,59819.276664,1.384950609866503,0.38495299079153683,2.192767549099922,1.7341636037153911
179971,u,1.227404,57.40017812543114,-31.957752347452903,1.40164511734,23.0612849264,59819.277111,1.5307242922871802,1.1884346867851419,1.0857978837772435,0.510545275753996
181224,z,0.883786,59.39166018477801,-32.603189303667776,1.00190401404,22.7160117187,59820.420758,3.298054903351678,2.929415046109592,1.9922041908535142,1.321916548251632
181868,r,0.951697,57.67197705073875,-30.402000046334173,1.37333935405,24.1527705359,59821.275677,1.5570263887364626,2.1444277820342212,0.6611759800163927,1.622441384586075
181900,r,1.049163,55.96061834607773,-29.981563616267177,1.28428062147,24.0815622425,59821.290208,1.01900158516248,2.0187186338122522,2.0310753747436934,2.6701601945467037
181938,r,1.148144,56.33661130932529,-32.03567460759069,1.19879834462,24.0187792872,59821.307888,1.0746903733369597,0.28762785172854155,1.7559028015583034,1.4107962764230382
181965,r,1.301343,58.06098592526727,-31.167185181731387,1.15100375419,23.8973127317,59821.320257,1.7729327851990688,1.943161984446938,0.17515357941460702,0.834433629906458
