Name                                                   Doc
id                                                     unique ID
coord_ra                                               position in ra/dec
coord_dec                                              position in ra/dec
parent                                                 unique ID of parent source
flags_negative                                         set if source was detected as significantly negative
base_NaiveCentroid_x                                   centroid from Naive Centroid algorithm
base_NaiveCentroid_y                                   centroid from Naive Centroid algorithm
base_NaiveCentroid_flag                                General Failure Flag
base_NaiveCentroid_flag_noCounts                       Object to be centroided has no counts
base_NaiveCentroid_flag_edge                           Object too close to edge
base_NaiveCentroid_flag_resetToPeak                    set if CentroidChecker reset the centroid
base_PeakCentroid_x                                    peak centroid
base_PeakCentroid_y                                    peak centroid
base_PeakCentroid_flag                                 Centroiding failed
base_SdssCentroid_x                                    centroid from Sdss Centroid algorithm
base_SdssCentroid_y                                    centroid from Sdss Centroid algorithm
base_SdssCentroid_xErr                                 1-sigma uncertainty on x position
base_SdssCentroid_yErr                                 1-sigma uncertainty on y position
base_SdssCentroid_flag                                 General Failure Flag
base_SdssCentroid_flag_edge                            Object too close to edge
base_SdssCentroid_flag_noSecondDerivative              Vanishing second derivative
base_SdssCentroid_flag_almostNoSecondDerivative        Almost vanishing second derivative
base_SdssCentroid_flag_notAtMaximum                    Object is not at a maximum
base_SdssCentroid_flag_resetToPeak                     set if CentroidChecker reset the centroid
ip_diffim_NaiveDipoleCentroid_flag                     general failure flag, set if anything went wrong
ip_diffim_NaiveDipoleCentroid_pos_flag                 failure flag for positive, set if anything went wrong
ip_diffim_NaiveDipoleCentroid_neg_flag                 failure flag for negative, set if anything went wrong
ip_diffim_NaiveDipoleCentroid_x                        unweighted first moment centroid: overall centroid
ip_diffim_NaiveDipoleCentroid_y                        unweighted first moment centroid: overall centroid
ip_diffim_NaiveDipoleCentroid_xErr                     1-sigma uncertainty on x position
ip_diffim_NaiveDipoleCentroid_yErr                     1-sigma uncertainty on y position
ip_diffim_NaiveDipoleCentroid_pos_x                    unweighted first moment centroid: positive lobe
ip_diffim_NaiveDipoleCentroid_pos_y                    unweighted first moment centroid: positive lobe
ip_diffim_NaiveDipoleCentroid_pos_xErr                 1-sigma uncertainty on x position
ip_diffim_NaiveDipoleCentroid_pos_yErr                 1-sigma uncertainty on y position
ip_diffim_NaiveDipoleCentroid_neg_x                    unweighted first moment centroid: negative lobe
ip_diffim_NaiveDipoleCentroid_neg_y                    unweighted first moment centroid: negative lobe
ip_diffim_NaiveDipoleCentroid_neg_xErr                 1-sigma uncertainty on x position
ip_diffim_NaiveDipoleCentroid_neg_yErr                 1-sigma uncertainty on y position
base_SdssShape_xx                                      elliptical Gaussian adaptive moments
base_SdssShape_yy                                      elliptical Gaussian adaptive moments
base_SdssShape_xy                                      elliptical Gaussian adaptive moments
base_SdssShape_xxErr                                   Standard deviation of xx moment
base_SdssShape_yyErr                                   Standard deviation of yy moment
base_SdssShape_xyErr                                   Standard deviation of xy moment
base_SdssShape_x                                       elliptical Gaussian adaptive moments
base_SdssShape_y                                       elliptical Gaussian adaptive moments
base_SdssShape_instFlux                                elliptical Gaussian adaptive moments
base_SdssShape_instFluxErr                             1-sigma instFlux uncertainty
base_SdssShape_psf_xx                                  adaptive moments of the PSF model at the object position
base_SdssShape_psf_yy                                  adaptive moments of the PSF model at the object position
base_SdssShape_psf_xy                                  adaptive moments of the PSF model at the object position
base_SdssShape_instFlux_xx_Cov                         uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_xx
base_SdssShape_instFlux_yy_Cov                         uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_yy
base_SdssShape_instFlux_xy_Cov                         uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_xy
base_SdssShape_flag                                    General Failure Flag
base_SdssShape_flag_unweightedBad                      Both weighted and unweighted moments were invalid
base_SdssShape_flag_unweighted                         Weighted moments converged to an invalid value; using unweighted moments
base_SdssShape_flag_shift                              centroid shifted by more than the maximum allowed amount
base_SdssShape_flag_maxIter                            Too many iterations in adaptive moments
base_SdssShape_flag_psf                                Failure in measuring PSF model shape
base_CircularApertureFlux_3_0_instFlux                 instFlux within 3.000000-pixel aperture
base_CircularApertureFlux_3_0_instFluxErr              1-sigma instFlux uncertainty
base_CircularApertureFlux_3_0_flag                     General Failure Flag
base_CircularApertureFlux_3_0_flag_apertureTruncated   aperture did not fit within measurement image
base_CircularApertureFlux_3_0_flag_sincCoeffsTruncated full sinc coefficient image did not fit within measurement image
base_CircularApertureFlux_4_5_instFlux                 instFlux within 4.500000-pixel aperture
base_CircularApertureFlux_4_5_instFluxErr              1-sigma instFlux uncertainty
base_CircularApertureFlux_4_5_flag                     General Failure Flag
base_CircularApertureFlux_4_5_flag_apertureTruncated   aperture did not fit within measurement image
base_CircularApertureFlux_4_5_flag_sincCoeffsTruncated full sinc coefficient image did not fit within measurement image
base_CircularApertureFlux_6_0_instFlux                 instFlux within 6.000000-pixel aperture
base_CircularApertureFlux_6_0_instFluxErr              1-sigma instFlux uncertainty
base_CircularApertureFlux_6_0_flag                     General Failure Flag
base_CircularApertureFlux_6_0_flag_apertureTruncated   aperture did not fit within measurement image
base_CircularApertureFlux_6_0_flag_sincCoeffsTruncated full sinc coefficient image did not fit within measurement image
base_CircularApertureFlux_9_0_instFlux                 instFlux within 9.000000-pixel aperture
base_CircularApertureFlux_9_0_instFluxErr              1-sigma instFlux uncertainty
base_CircularApertureFlux_9_0_flag                     General Failure Flag
base_CircularApertureFlux_9_0_flag_apertureTruncated   aperture did not fit within measurement image
base_CircularApertureFlux_9_0_flag_sincCoeffsTruncated full sinc coefficient image did not fit within measurement image
base_CircularApertureFlux_12_0_instFlux                instFlux within 12.000000-pixel aperture
base_CircularApertureFlux_12_0_instFluxErr             1-sigma instFlux uncertainty
base_CircularApertureFlux_12_0_flag                    General Failure Flag
base_CircularApertureFlux_12_0_flag_apertureTruncated  aperture did not fit within measurement image
base_CircularApertureFlux_17_0_instFlux                instFlux within 17.000000-pixel aperture
base_CircularApertureFlux_17_0_instFluxErr             1-sigma instFlux uncertainty
base_CircularApertureFlux_17_0_flag                    General Failure Flag
base_CircularApertureFlux_17_0_flag_apertureTruncated  aperture did not fit within measurement image
base_CircularApertureFlux_25_0_instFlux                instFlux within 25.000000-pixel aperture
base_CircularApertureFlux_25_0_instFluxErr             1-sigma instFlux uncertainty
base_CircularApertureFlux_25_0_flag                    General Failure Flag
base_CircularApertureFlux_25_0_flag_apertureTruncated  aperture did not fit within measurement image
base_CircularApertureFlux_35_0_instFlux                instFlux within 35.000000-pixel aperture
base_CircularApertureFlux_35_0_instFluxErr             1-sigma instFlux uncertainty
base_CircularApertureFlux_35_0_flag                    General Failure Flag
base_CircularApertureFlux_35_0_flag_apertureTruncated  aperture did not fit within measurement image
base_CircularApertureFlux_50_0_instFlux                instFlux within 50.000000-pixel aperture
base_CircularApertureFlux_50_0_instFluxErr             1-sigma instFlux uncertainty
